기계공학과
기계공학부
기계공학전공
기계설계(학연산)학과
건축학과
건축학부
건축학전공
건축학전공(5년)
기계설계공학과
기계설계공학부
기계설계학전공
기계설비공학과
기계시스템공학과
기계시스템공학부
기계시스템공학전공
기계시스템설계전공
기계에너지시스템공학부
기계의용공학과
기계자동차공학과
게임전공
게임학과
기계정보공학과
기계정보공학부
기계항공공학부
광나노전공
기술경영학과
디지털방송영상학과
교통공학과
IT공학과
IT공학부
IT융합학과
IT콘텐츠전공
국방과학연구소학연산협동과정
냉동공조공학과
고분자공학과
고분자공학전공
고분자섬유신소재학
고분자시스템공학부
공간정보공학과
공과대학
공업교육전공
공업화학과
공업화학전공
도시공학과
건설관리학과
건설지구환경공학부
건설환경공학과
건축공학과
건축공학부
건축공학전공
금속공학과
금속재료공정공학전공
금속재료공학과
건축설계전공
생명화학공학과
시스템경영공학과
생물공학과
생물소재공학전공
물류시스템학과
생산가공공학과
생산기계공학과
식품생명공학과
신기술융합학과
미생물공학과
사회기반시스템공학부
선박공학과
디지털콘텐츠학과
섬유시스템공학과
반도체시스템공학전공
산업경영공학과
소방방재학과
소방설비공학과
방위사업학과
산업공학과
산업공학부
멀티미디어공학과
멀티미디어공학전공
멀티미디어시스템공학전공
소프트웨어학과
멀티미디어정보학과
멀티미디어학과
메카트로닉스공학과
메카트로닉스공학부
산업시스템공학과
메카트로닉스공학전공
메카트로닉스공학협동과정
메카트로닉스전공
삼성전자학연산협동과정
생명공학과
생명공학전공
정보보호기술학협동과정
정보보호학과
정보소자학과
자원공학전공
연안역통합관리협동과정
응용시스템공학부
정보제어공학과
정보처리전공
정보통신공학과
정보통신공학부
재료공학과
정보통신공학전공
정보통신전공
정보통신전자공학부
정보통신학과
의료공학과
의료정보학과
전기공학과
전기공학전공
전기및전자공학과
전기전자공학과
신소재공학과
신소재공학부
신소재시스템공학부
전기전자정보통신공학부
전기전자제어공학과
전기전자컴퓨터공학부
전기전자통신교육전공
신소재화학공학과
전산학과
전자공학과
전자공학나노정보공학전공
전자공학부
전자공학전공
전자전기공학부
전자전기컴퓨터공학과
전자정보통신공학과
안전공학과
전자컴퓨터공학과
전자컴퓨터정보통신공학부
전자통신공학과
전자통신공학전공
전자통신전파공학과
전파공학과
정밀기계공학과
정밀기계공학부
정보공학부
정보과학과
에너지공학과
에너지공학전공
자동차공학과
자동차공학전공
자동차기계공학과
정보미디어학과
에너지화학공학전공
자동차학과
기계로봇에너지공학과
철도차량시스템학과
토목설계학전공
토목지구시스템신소재산업화학공학과군
토목환경공학과
에너지자원공학과
건축토목공학부(건축학전공)
철도토목학과
첨단소재공학과
통신공학과
통신공학전공
컴퓨터미디어정보공학부
화공생명공학부
제어계측공학과
포항산업과학연구원학연산협동과정
화학공학과
화학공학전공
조경학과
조경학전공
조선해양공학과
조선해양공학부
컴퓨터공학과
컴퓨터공학부
컴퓨터공학전공
컴퓨터과학과
환경공학과
컴퓨터교육과
컴퓨터교육전공
컴퓨터멀티미디어공학과군
컴퓨터멀티미디어학부
환경생명공학과
환경시스템공학과
컴퓨터소프트웨어공학과
컴퓨터소프트웨어학전공
한국항공우주연구원학연산협동과정
컴퓨터응용설계학과
컴퓨터정보공학과
지능시스템공학과
컴퓨터정보교육전공
항공우주공학과
컴퓨터정보학과
컴퓨터학과
컴퓨터학부
케이블방송정보학과
소방안전공학과
해양산업공학과
지질과학과
토목・환경공학과
토목건축공학부
토목공학과
토목공학전공
대구기계부품연구원학연산협동과정
한국전기연구원
IT에너지학과
건축공학과(건축공학전공)
사회기반공학과
압력용기시스템전공
전기전자반도체공학과
광기술공학과(광응용공학전공)
첨단부품소재공학과(정밀기계설계공학전공)
정보통신공학부(임베디드시스템공학전공)
태양에너지공학과
에너지저장・변환공학과
기술정보보호학과
건축도시공학부(도시공학전공)
사이버국방학과
에너지공학부 신재생에너지전공
IT융합응용공학과
유연인쇄전자공학과
IT융복합공학과
산림바이오소재공학과
기능소재공학과
미래자동차공학과
친환경에너지공학부
반도체기계공학과
소프트웨어응용공학과
해양스포츠과학전공
나노소재공학과
기계시스템공학부(응용기계공학전공)
지능기계공학과
생산디자인공학과
건축학부건축공학전공
설비공학과
교통물류공학과
레이저광정보공학과
응용신소재공학전공
전자공학부모바일공학전공
제품설계금형공학과
전기전자컴퓨터공학부(전기공학)
기계교육과
건축학과(5)
게임&미디어전공
기계설계학과
기계자동차공학부
디스플레이신소재공학과
기관시스템공학과
디자인공학과
광전자공학전공
기술교육과
나노공학부
나노메카트로닉스
고분자나노공학과
단일계열
건설공학과
건설시스템공학부
도시설계・조경학과
건설환경공학부
글로벌미디어학부
건축디자인전공
동력시스템공학과
건축조경학부
기계・자동차공학과
생물소재공학협동과정
식품생명공학전공
식품생물공학과
미디어교육전공
신소재&나노공학과
설계생산자동화공학전공
바이오메디컬공학부
바이오시스템공학과
바이오응용화학과
섬유공학과
섬유나노소재전공
섬유산업학과
섬유신소재설계전공
섬유패션학부(첨단유기소재)
사회환경시스템공학과
사회환경시스템공학부
로봇공학과
산업경영공학전공
소방방재공학과
소방방재학부
매체공학과
소재프로세스공학과
소프트웨어학전공
산업시스템공학전공
보건안전공학과
산업정보시스템전공
생명공학부
정보보호공학
정보보호학협동과정
자원공학과
정보시스템공학과
정보시스템전공
정보처리학전공
의공학과
의공학협동과정
재료공학전공
정보통신전자공학전공
의료기계공학전공
정보통신학부
전기전자공학과(학연산협동과정)
전기전자공학부
전기전자공학전공
신소재공학전공
신소재화공생명공학부
전기제어공학과
전기통신공학과
전자계산공학과
전자계산교육전공
전자계산학과
운항시스템공학과
원자력공학과
원자력에너지학과
전자전기공학전공
전자정보공학부
전자정보통신공학부
전자컴퓨터공학부
전파공학전공
정보경영공학부
정보공학전공
자동차기계공학전공
정보나노소재공학과
정보나노소재공학전공
정보네트워크공학전공
정보디스플레이공학학과간협동과정
철강학과
철도차량학과
토목시스템공학과
토목시스템공학전공
토목환경공학부
바이오소재과학과
헬스케어기기전공
제어계측공학전공
치기공학과
화학공학부
화학생명공학과
조선해양공학전공
컴퓨터과학부
컴퓨터과학전공
환경공학전공
컴퓨터교육과(심화전공)
컴퓨터교육학과
한국산업기술시험원학연산협동과정
컴퓨터시스템공학과
한방의료공학과
지구시스템공학과
지구환경공학부
컴퓨터정보공학전공
컴퓨터정보통신공학과
항공우주공학전공
첨단정보과학및정보기술국제화협동과정
컴퓨터학전공
해상운송시스템학과
해양건축공학과
해양공학과
테크노기계공학과학연산협동과정
응용컴퓨터공학과
신소재시스템공학부(신)
유기소재파이버공학과
해양군사학과
바이오메디컬공학부(헬스케어정보공학전공)
화학공학부(생명화학공학전공)
컴퓨터융합공학과
u-City공학과
미디어공학연계전공
전기전자응용공학과
에너지공학부 에너지변환전공
유기나노공학과
유기소재・섬유시스템공학과
로봇교육전공
무기체계공학협동과정
나노메카트로닉스공학과
산학협력단
건축일반전공
나노융합과학과간협동과정
철도・전기공학부
디지털콘텐츠공학과
기계시스템디자인공학과
플랜트엔지니어링학과
전자전기공학부(전자공학전공)
철도전기통신학과
반도체시스템공학과
고분자융합소재공학전공
에너지전기공학과
기계항공시스템공학부(정밀기계공학전공)
기계항공시스템공학부(자동차공학전공)
생명건강공학전공
항공정비학과
전자IT미디어공학과
의약공학과
도시관리전공
나노신소재공학과
철도전기통신공학과
환경공학부
해양산업공학협동과정
한국전자통신연구원학연산협동과정
화학공학교육과
전산교육전공
정보디스플레이학과
제어임베디드공학과
건축산업학과
기전공학과
금형설계공학과
보석귀금속학과
영상정보공학과
산업정보공학전공
고분자신소재공학전공
디지털문화콘텐츠학부
디지털정보융합학과
재료금속공학과
테크노경영학과
정보나노소재공학과(학연산협동과정)
건설시스템공학과
